page_id,url,img,name,cardType,color,hp,bloom,arts1_text,arts1_icons,arts1_tokkou,arts2_text,arts2_icons,arts2_tokkou,arts3_text,arts3_icons,arts3_tokkou,keyword1,keyword2,keywordEffect,baton,extra,rarity,number,product1,product2,product3,product4,product5,tag1,tag2,tag3,tag4,tag5,tag6
40,https://hololive-official-cardgame.com/cardlist/?id=40&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD08/hBP01-009_C.png,天音かなた,ホロメン,白,90,Debut,"こんかなた～　40
このアーツは、相手のセンターホロメンしか対象にできない。",白,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,C,hBP01-009,ブルーミングレディアンス,スタートデッキ 白 天音かなた,,,,#JP,#4期生,#歌,,,
188,https://hololive-official-cardgame.com/cardlist/?id=188&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-009_P.png,天音かなた,ホロメン,白,90,Debut,"こんかなた～　40
このアーツは、相手のセンターホロメンしか対象にできない。",白,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,P,hBP01-009,PRカード,,,,,#JP,#4期生,#歌,,,
41,https://hololive-official-cardgame.com/cardlist/?id=41&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-010_U.png,天音かなた,ホロメン,白,60,Debut,行ってきまーす　20,◇,,,,,,,,お出かけ天使,,このターンの間、自分のセンターホロメンのアーツ+10。自分のセンターホロメンが#4期生を持つ時、さらに、自分のセンターホロメンのアーツ+20。,1,,U,hBP01-010,ブルーミングレディアンス,,,,,#JP,#4期生,#歌,,,
42,https://hololive-official-cardgame.com/cardlist/?id=42&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-011_C.png,天音かなた,ホロメン,白,150,1st,塩対応かなたそ　20,白,,,,,,,,,,,,,C,hBP01-011,ブルーミングレディアンス,スタートデッキ 白 天音かなた,,,,#JP,#4期生,#歌,,,
43,https://hololive-official-cardgame.com/cardlist/?id=43&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-012_U.png,天音かなた,ホロメン,白,120,1st,い～っぱい応援して！　40,◇,,,,,,,,アイドルかなたそを,,サイコロを1回振れる:3以下の時、自分のデッキから、マスコット1枚を公開し、自分のホロメンに付ける。そしてデッキをシャッフルする。,1,,U,hBP01-012,ブルーミングレディアンス,,,,,#JP,#4期生,#歌,,,
203,https://hololive-official-cardgame.com/cardlist/?id=203&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-012_P.png,天音かなた,ホロメン,白,120,1st,い～っぱい応援して！　40,◇,,,,,,,,アイドルかなたそを,,サイコロを1回振れる:3以下の時、自分のデッキから、マスコット1枚を公開し、自分のホロメンに付ける。そしてデッキをシャッフルする。,1,,P,hBP01-012,PRカード,,,,,#JP,#4期生,#歌,,,
44,https://hololive-official-cardgame.com/cardlist/?id=44&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hSD08/hBP01-013_R_02.png,天音かなた,ホロメン,白,100,1st,エンジェルステージ　50,"白,◇",,,,,,,,天使のお仕事,,相手のセンターホロメンに特殊ダメージ30を与える（ダウンしても相手のライフは減らない）。,1,,R,hBP01-013,ブルーミングレディアンス,スタートデッキ 白 天音かなた,,,,#JP,#4期生,#歌,,,
1099,https://hololive-official-cardgame.com/cardlist/?id=1099&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-013_P_02.png,天音かなた,ホロメン,白,100,1st,エンジェルステージ　50,"白,◇",,,,,,,,天使のお仕事,,相手のセンターホロメンに特殊ダメージ30を与える（ダウンしても相手のライフは減らない）。,1,,P,hBP01-013,PRカード,,,,,#JP,#4期生,#歌,,,
1449,https://hololive-official-cardgame.com/cardlist/?id=1449&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-013_P_03.png,天音かなた,ホロメン,白,100,1st,エンジェルステージ　50,"白,◇",,,,,,,,天使のお仕事,,相手のセンターホロメンに特殊ダメージ30を与える。ただし、ダウンしても相手のライフは減らない。,1,,P,hBP01-013,PRカード,,,,,#JP,#4期生,#歌,,,
45,https://hololive-official-cardgame.com/cardlist/?id=45&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-014_RR.png,天音かなた,ホロメン,白,200,2nd,"♰漆黒の翼♰　100
このアーツで相手のホロメンをダウンさせた時、与えたダメージが残りHPを50以上オーバーしていれば、相手のライフ-1。","白,白,白",赤+50,,,,,,,堕ちた天使,,相手のセンターホロメンに特殊ダメージ50を与える。,2,,RR,hBP01-014,ブルーミングレディアンス,,,,,#JP,#4期生,#歌,,,
46,https://hololive-official-cardgame.com/cardlist/?id=46&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-014_UR.png,天音かなた,ホロメン,白,200,2nd,"♰漆黒の翼♰　100
このアーツで相手のホロメンをダウンさせた時、与えたダメージが残りHPを50以上オーバーしていれば、相手のライフ-1。","白,白,白",赤+50,,,,,,,堕ちた天使,,相手のセンターホロメンに特殊ダメージ50を与える。,2,,UR,hBP01-014,ブルーミングレディアンス,,,,,#JP,#4期生,#歌,,,
47,https://hololive-official-cardgame.com/cardlist/?id=47&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-015_C.png,七詩ムメイ,ホロメン,白,90,Debut,"Oh,Hi　10+
このターンに自分がサポートカードを使っていた時、このアーツ+20。",白,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,C,hBP01-015,ブルーミングレディアンス,,,,,#EN,#Promise,#トリ,#絵,,
176,https://hololive-official-cardgame.com/cardlist/?id=176&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hPR/hBP01-015_P.png,七詩ムメイ,ホロメン,白,90,Debut,"Oh,Hi　10+
このターンに自分がサポートカードを使っていた時、このアーツ+20。",白,,,,,,,,,,,1,このホロメンはデッキに何枚でも入れられる,P,hBP01-015,PRカード,,,,,#EN,#Promise,#トリ,#絵,,
48,https://hololive-official-cardgame.com/cardlist/?id=48&keyword=&attribute%5B0%5D=all&expansion_name=&card_kind%5B0%5D=%E3%83%9B%E3%83%AD%E3%83%A1%E3%83%B3&rare%5B0%5D=all&bloom_level%5B0%5D=all&parallel%5B0%5D=all&view=text,https://hololive-official-cardgame.com/wp-content/images/cardlist/hBP01/hBP01-016_U.png,七詩ムメイ,ホロメン,白,60,Debut,リラックスタイム　10,◇,,,,,,,,白いキャンバス,,自分のセンターホロメンが#Promiseを持つ時、自分のデッキを1枚引く。,1,,U,hBP01-016,ブルーミングレディアンス,,,,,#EN,#Promise,#トリ,#絵,,
